inputfile,time,round_trip_time,packet_loss,voltage,rio_cpu,robot_disabled,robot_auto,robot_tele,ds_disabled,ds_auto,ds_tele,watchdog,brownout,can_usage,wifi_db,bandwidth,pdp_id,pdp_0,pdp_1,pdp_2,pdp_3,pdp_4,pdp_5,pdp_6,pdp_7,pdp_8,pdp_9,pdp_10,pdp_11,pdp_12,pdp_13,pdp_14,pdp_15,pdp_total_current
../2018_09_27 11_56_03 Thu.dslog,0.0,12.0,0.84,12.43359375,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,20.0,12.0,0.84,12.43359375,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,40.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,60.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,80.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,100.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,120.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,140.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,160.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,180.0,12.0,0.84,12.4140625,0.425,False,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,200.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,220.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,240.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.5,2.0,30.375
../2018_09_27 11_56_03 Thu.dslog,260.0,12.0,0.84,12.41796875,0.425,True,False,False,True,False,False,False,False,0.41500000000000004,0.0,0.0,9,2.375,1.625,2.125,2.0,1.375,2.5,2.0,2.125,2.0,2.125,1.25,2.0,2.0,1.375,1.375,2.0,30.25
